# lambda(cm-1) eta(cm-1) DG(cm-1) Exact(ps-1) HT(ps-1) ST(ps-1) Marcus(ps-1) Exact/Marcus HT/Marcus ST/Marcus ln(Exact/Marcus) ln(HT/Marcus) ln(ST/Marcus)
    1.00000000E+01    1.00000000E+01    0.00000000E+00    1.36958290E+01    1.37081959E+01    1.27167784E+01    1.30040013E+01    1.05320114E+00    1.05415215E+00    9.77912731E-01    5.18342328E-02    5.27367976E-02   -2.23348453E-02
    1.00000000E+01    1.00000000E+01    1.05263158E+02    3.21007935E+00    3.20743023E+00    3.67887124E+00    3.55470156E+00    9.03051718E-01    9.02306473E-01    1.03493111E+00   -1.01975454E-01   -1.02801046E-01    3.43348659E-02
    1.00000000E+01    1.27427499E+01    0.00000000E+00    1.38405675E+01    1.38562776E+01    1.26416534E+01    1.30040013E+01    1.06433144E+00    1.06553955E+00    9.72135666E-01    6.23468507E-02    6.34812884E-02   -2.82599102E-02
    1.00000000E+01    1.27427499E+01    1.05263158E+02    3.14186072E+00    3.13850897E+00    3.71097238E+00    3.55470156E+00    8.83860619E-01    8.82917711E-01    1.04396173E+00   -1.23455900E-01   -1.24523275E-01    4.30228279E-02
    1.00000000E+01    1.62377674E+01    0.00000000E+00    1.40427408E+01    1.40627136E+01    1.25480577E+01    1.30040013E+01    1.07987846E+00    1.08141435E+00    9.64938210E-01    7.68484957E-02    7.82697682E-02   -3.56912104E-02
    1.00000000E+01    1.62377674E+01    1.05263158E+02    3.05233734E+00    3.04810271E+00    3.75071747E+00    3.55470156E+00    8.58676120E-01    8.57484844E-01    1.05514272E+00   -1.52363471E-01   -1.53751775E-01    5.36760372E-02
    1.00000000E+01    2.06913808E+01    0.00000000E+00    1.43203561E+01    1.43457626E+01    1.24321146E+01    1.30040013E+01    1.10122691E+00    1.10318065E+00    9.56022253E-01    9.64249300E-02    9.81975084E-02   -4.49740887E-02
    1.00000000E+01    2.06913808E+01    1.05263158E+02    2.93885276E+00    2.93352746E+00    3.79954004E+00    3.55470156E+00    8.26750914E-01    8.25252812E-01    1.06887737E+00   -1.90251821E-01   -1.92065501E-01    6.66089072E-02
    1.00000000E+01    2.63665090E+01    0.00000000E+00    1.47002794E+01    1.47326097E+01    1.22894933E+01    1.30040013E+01    1.13044278E+00    1.13292897E+00    9.45054759E-01    1.22609399E-01    1.24806285E-01   -5.65124073E-02
    1.00000000E+01    2.63665090E+01    1.05263158E+02    2.79953234E+00    2.79289595E+00    3.85891429E+00    3.55470156E+00    7.87557632E-01    7.85690699E-01    1.08558039E+00   -2.38818727E-01   -2.41192077E-01    8.21147619E-02
    1.00000000E+01    3.35981829E+01    0.00000000E+00    1.52230100E+01    1.52641565E+01    1.21155483E+01    1.30040013E+01    1.17064046E+00    1.17380460E+00    9.31678491E-01    1.57551001E-01    1.60250269E-01   -7.07674910E-02
    1.00000000E+01    3.35981829E+01    1.05263158E+02    2.63441348E+00    2.62626527E+00    3.93020507E+00    3.55470156E+00    7.41106794E-01    7.38814561E-01    1.10563573E+00   -2.99610542E-01   -3.02708322E-01    1.00420494E-01
    1.00000000E+01    4.28133240E+01    0.00000000E+00    1.59502720E+01    1.60026296E+01    1.19055718E+01    1.30040013E+01    1.22656648E+00    1.23059274E+00    9.15531427E-01    2.04218785E-01    2.07495958E-01   -8.82505877E-02
    1.00000000E+01    4.28133240E+01    1.05263158E+02    2.44645497E+00    2.43666532E+00    4.01442810E+00    3.55470156E+00    6.88230765E-01    6.85476762E-01    1.12932915E+00   -3.73631083E-01   -3.77640680E-01    1.21623785E-01
    1.00000000E+01    5.45559478E+01    0.00000000E+00    1.69759649E+01    1.70425490E+01    1.16551808E+01    1.30040013E+01    1.30544165E+00    1.31056193E+00    8.96276504E-01    2.66541412E-01    2.70456000E-01   -1.09506315E-01
    1.00000000E+01    5.45559478E+01    1.05263158E+02    2.24151953E+00    2.23009169E+00    4.11190522E+00    3.55470156E+00    6.30578826E-01    6.27363972E-01    1.15675118E+00   -4.61117111E-01   -4.66228409E-01    1.45615369E-01
    1.00000000E+01    6.95192796E+01    0.00000000E+00    1.84387668E+01    1.85233475E+01    1.13608378E+01    1.30040013E+01    1.41793025E+00    1.42443446E+00    8.73641699E-01    3.49198240E-01    3.53774866E-01   -1.35084943E-01
    1.00000000E+01    6.95192796E+01    1.05263158E+02    2.02678236E+00    2.01390570E+00    4.22182170E+00    3.55470156E+00    5.70169485E-01    5.66547054E-01    1.18767262E+00   -5.61821621E-01   -5.68195141E-01    1.71995608E-01
    1.00000000E+01    8.85866790E+01    0.00000000E+00    2.05309031E+01    2.06381518E+01    1.10204700E+01    1.30040013E+01    1.57881430E+00    1.58706166E+00    8.47467620E-01    4.56674121E-01    4.61884292E-01   -1.65502647E-01
    1.00000000E+01    8.85866790E+01    1.05263158E+02    1.80843970E+00    1.79451354E+00    4.34173655E+00    3.55470156E+00    5.08745859E-01    5.04828187E-01    1.22140677E+00   -6.75806681E-01   -6.83537132E-01    2.00003285E-01
    1.00000000E+01    1.12883789E+02    0.00000000E+00    2.34979269E+01    2.36335747E+01    1.06340999E+01    1.30040013E+01    1.80697667E+00    1.81740790E+00    8.17755991E-01    5.91655102E-01    5.97411257E-01   -2.01191287E-01
    1.00000000E+01    1.12883789E+02    1.05263158E+02    1.59056217E+00    1.57617217E+00    4.46716131E+00    3.55470156E+00    4.47453083E-01    4.43404922E-01    1.25669096E+00   -8.04183589E-01   -8.13271882E-01    2.28482043E-01
    1.00000000E+01    1.43844989E+02    0.00000000E+00    2.76334959E+01    2.78045018E+01    1.02043557E+01    1.30040013E+01    2.12499948E+00    2.13814973E+00    7.84708914E-01    7.53771556E-01    7.59940845E-01   -2.42442440E-01
    1.00000000E+01    1.43844989E+02    1.05263158E+02    1.37608905E+00    1.36192118E+00    4.59138820E+00    3.55470156E+00    3.87118026E-01    3.83132354E-01    1.29163816E+00   -9.49025656E-01   -9.59374777E-01    2.55911307E-01
    1.00000000E+01    1.83298071E+02    0.00000000E+00    3.32814126E+01    3.34961359E+01    9.73671144E+00    1.30040013E+01    2.55932093E+00    2.57583303E+00    7.48747346E-01    9.39741961E-01    9.46172987E-01   -2.89353674E-01
    1.00000000E+01    1.83298071E+02    1.05263158E+02    1.16890017E+00    1.15560160E+00    4.70577236E+00    3.55470156E+00    3.28832155E-01    3.25091033E-01    1.32381644E+00   -1.11220783E+00   -1.12365003E+00    2.80518806E-01
    1.00000000E+01    2.33572147E+02    0.00000000E+00    4.08533050E+01    4.11216656E+01    9.23933866E+00    1.30040013E+01    3.14159497E+00    3.16223174E+00    7.10499674E-01    1.14473062E+00    1.15127803E+00   -3.41786790E-01
    1.00000000E+01    2.33572147E+02    1.05263158E+02    9.74607090E-01    9.62650676E-01    4.80060096E+00    3.55470156E+00    2.74174097E-01    2.70810547E-01    1.35049339E+00   -1.29399198E+00   -1.30633579E+00    3.00470001E-01
    1.00000000E+01    2.97635144E+02    0.00000000E+00    5.08614369E+01    5.11950438E+01    8.72253703E+00    1.30040013E+01    3.91121439E+00    3.93686857E+00    6.70757935E-01    1.36384791E+00    1.37038563E+00   -3.99346960E-01
    1.00000000E+01    2.97635144E+02    1.05263158E+02    7.99086227E-01    7.88707682E-01    4.86649303E+00    3.55470156E+00    2.24796995E-01    2.21877328E-01    1.36902999E+00   -1.49255753E+00   -1.50563063E+00    3.14102450E-01
    1.00000000E+01    3.79269019E+02    0.00000000E+00    6.39636908E+01    6.43759190E+01    8.19782888E+00    1.30040013E+01    4.91876997E+00    4.95047007E+00    6.30408189E-01    1.59305849E+00    1.59948254E+00   -4.61387750E-01
    1.00000000E+01    3.79269019E+02    1.05263158E+02    6.46342496E-01    6.37565580E-01    4.89602665E+00    3.55470156E+00    1.81827500E-01    1.79358399E-01    1.37733831E+00   -1.70469685E+00   -1.71836925E+00    3.20152878E-01
    1.00000000E+01    4.83293024E+02    0.00000000E+00    8.10216944E+01    8.15276987E+01    7.67690166E+00    1.30040013E+01    6.23052034E+00    6.26943177E+00    5.90349194E-01    1.82945985E+00    1.83568572E+00   -5.27041063E-01
    1.00000000E+01    4.83293024E+02    1.05263158E+02    5.17562692E-01    5.10271605E-01    4.88512271E+00    3.55470156E+00    1.45599478E-01    1.43548367E-01    1.37427084E+00   -1.92689573E+00   -1.94108325E+00    3.17923294E-01
    1.00000000E+01    6.15848211E+02    0.00000000E+00    1.03179045E+02    1.03795727E+02    7.17062025E+00    1.30040013E+01    7.93440747E+00    7.98182997E+00    5.51416453E-01    2.07120868E+00    2.07716771E+00   -5.95264943E-01
    1.00000000E+01    6.15848211E+02    1.05263158E+02    4.11553569E-01    4.05565668E-01    4.83375291E+00    3.55470156E+00    1.15777249E-01    1.14092748E-01    1.35981962E+00   -2.15608720E+00   -2.17074359E+00    3.07352055E-01
    1.00000000E+01    7.84759970E+02    0.00000000E+00    1.29743376E+02    1.30477575E+02    6.06932371E+00    1.30040013E+01    9.97718883E+00    1.00336483E+01    4.66727401E-01    2.30030137E+00    2.30594427E+00   -7.62009916E-01
    1.00000000E+01    7.84759970E+02    1.05263158E+02    3.25773712E-01    3.20892835E-01    4.57548034E+00    3.55470156E+00    9.16458687E-02    9.02727921E-02    1.28716301E+00   -2.38982338E+00   -2.40491917E+00    2.52440576E-01
    1.00000000E+01    1.00000000E+03    0.00000000E+00    1.65714310E+02    1.66591414E+02    5.60721386E+00    1.30040013E+01    1.27433324E+01    1.28107811E+01    4.31191427E-01    2.54500818E+00    2.55028709E+00   -8.41203142E-01
    1.00000000E+01    1.00000000E+03    1.05263158E+02    2.57071276E-01    2.53107735E-01    4.40571986E+00    3.55470156E+00    7.23186664E-02    7.12036527E-02    1.23940640E+00   -2.62667300E+00   -2.64221116E+00    2.14632554E-01
    1.32162073E+01    1.00000000E+01    0.00000000E+00    1.17990978E+01    1.18112890E+01    1.10211053E+01    1.12680527E+01    1.04712838E+00    1.04821031E+00    9.78084286E-01    4.60515434E-02    4.70842438E-02   -2.21594307E-02
    1.32162073E+01    1.00000000E+01    1.05263158E+02    3.98356044E+00    3.98216127E+00    4.34198812E+00    4.25580066E+00    9.36030786E-01    9.35702018E-01    1.02025176E+00   -6.61069118E-02   -6.64582101E-02    2.00494201E-02
    1.32162073E+01    1.27427499E+01    0.00000000E+00    1.19044301E+01    1.19199199E+01    1.09564925E+01    1.12680527E+01    1.05647626E+00    1.05785092E+00    9.72350133E-01    5.49390851E-02    5.62394187E-02   -2.80393199E-02
    1.32162073E+01    1.27427499E+01    1.05263158E+02    3.92487453E+00    3.92304521E+00    4.36379282E+00    4.25580066E+00    9.22241158E-01    9.21811315E-01    1.02537529E+00   -8.09485303E-02   -8.14147236E-02    2.50586780E-02
    1.32162073E+01    1.62377674E+01    0.00000000E+00    1.20524231E+01    1.20721201E+01    1.08759810E+01    1.12680527E+01    1.06961011E+00    1.07135816E+00    9.65205019E-01    6.72942001E-02    6.89271483E-02   -3.54147449E-02
    1.32162073E+01    1.62377674E+01    1.05263158E+02    3.84598635E+00    3.84357473E+00    4.39050832E+00    4.25580066E+00    9.03704532E-01    9.03137866E-01    1.03165272E+00   -1.01252817E-01   -1.01880061E-01    3.11620957E-02
    1.32162073E+01    2.06913808E+01    0.00000000E+00    1.22556671E+01    1.22807300E+01    1.07762269E+01    1.12680527E+01    1.08764730E+00    1.08987155E+00    9.56352192E-01    8.40169260E-02    8.60598412E-02   -4.46290324E-02
    1.32162073E+01    2.06913808E+01    1.05263158E+02    3.74233734E+00    3.73914243E+00    4.42288860E+00    4.25580066E+00    8.79349772E-01    8.78599054E-01    1.03926122E+00   -1.28572540E-01   -1.29426625E-01    3.85100973E-02
    1.32162073E+01    2.63665090E+01    0.00000000E+00    1.25327959E+01    1.25647004E+01    1.06534907E+01    1.12680527E+01    1.11224151E+00    1.11507292E+00    9.45459785E-01    1.06377358E-01    1.08919806E-01   -5.60839248E-02
    1.32162073E+01    2.63665090E+01    1.05263158E+02    3.60873716E+00    3.60450515E+00    4.46159594E+00    4.25580066E+00    8.47957282E-01    8.46962871E-01    1.04835642E+00   -1.64925019E-01   -1.66098422E-01    4.72236219E-02
    1.32162073E+01    3.35981829E+01    0.00000000E+00    1.29116095E+01    1.29522324E+01    1.05037555E+01    1.12680527E+01    1.14585988E+00    1.14946502E+00    9.32171313E-01    1.36155342E-01    1.39296635E-01   -7.02386688E-02
    1.32162073E+01    3.35981829E+01    1.05263158E+02    3.44025306E+00    3.43468842E+00    4.50705373E+00    4.25580066E+00    8.08367998E-01    8.07060455E-01    1.05903779E+00   -2.12737881E-01   -2.14356700E-01    5.73607515E-02
    1.32162073E+01    4.28133240E+01    0.00000000E+00    1.34341483E+01    1.34858690E+01    1.03229423E+01    1.12680527E+01    1.19223336E+00    1.19682339E+00    9.16124784E-01    1.75828323E-01    1.79670873E-01   -8.76026961E-02
    1.32162073E+01    4.28133240E+01    1.05263158E+02    3.23393594E+00    3.22674175E+00    4.55923467E+00    4.25580066E+00    7.59888960E-01    7.58198517E-01    1.07129892E+00   -2.74582961E-01   -2.76810032E-01    6.88718592E-02
